==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
     87       0.0     0.0        0.0         0     .\src\codes\result1581655211103.py
      0       0.0     0.0        0.0         0     .\src\codes\result1581750895599.py
      9       5.0     2.0       21.0         1     .\src\codes\result1581750907623.py
      1       0.0     0.0        0.0         0     .\src\codes\result1581948553387.py
      1       0.0     0.0        0.0         0     .\src\codes\result1581948568935.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582023289866.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582103355264.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582557829549.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582557835987.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582558139068.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582558143535.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582719193935.py
     32       9.0     4.0       58.0         1     .\src\codes\result1583129529428.py
     32       0.0     0.0        0.0         0     .\src\codes\result1583213500040.py
      8       0.0     0.0        0.0         0     .\src\codes\result1583222595731.py
     38      10.7     5.3      101.3         3     .\src\codes\result1583378281192.py
      2       0.0     0.0        0.0         0     .\src\codes\result1584197128692.py
===========================================================================================================
