================================================
  NLOC    CCN   token  PARAM  length  location
------------------------------------------------
      8       8.0     3.0       39.0         1     .\src\codes\result1581925062818.py
     10       8.0     3.0       41.0         1     .\src\codes\result1581925499636.py
     10       8.0     3.0       41.0         1     .\src\codes\result1581925529605.py
     10       8.0     3.0       41.0         1     .\src\codes\result1581925687500.py
      9       8.0     3.0       41.0         1     .\src\codes\result1581925701247.py
      8       8.0     3.0       41.0         1     .\src\codes\result1581925706468.py
     10       8.0     3.0       41.0         1     .\src\codes\result1581925767723.py
     10       8.0     3.0       41.0         1     .\src\codes\result1581925822954.py
     10       8.0     3.0       41.0         1     .\src\codes\result1581925839351.py
      8       8.0     3.0       41.0         1     .\src\codes\result1581926958550.py
      9       9.0     5.0       50.0         1     .\src\codes\result1581927096544.py
     11       9.0     5.0       50.0         1     .\src\codes\result1581927186772.py
     11       9.0     5.0       50.0         1     .\src\codes\result1581927202375.py
     11       9.0     5.0       50.0         1     .\src\codes\result1581927211819.py
     11       9.0     5.0       50.0         1     .\src\codes\result1581927229151.py
     11       9.0     5.0       50.0         1     .\src\codes\result1581927232997.py
     11       9.0     5.0       50.0         1     .\src\codes\result1581927244679.py
     11       9.0     5.0       50.0         1     .\src\codes\result1581927264613.py
     11       9.0     5.0       51.0         1     .\src\codes\result1581927274320.py
     11       9.0     5.0       51.0         1     .\src\codes\result1581927381504.py
     12       0.0     0.0        0.0         0     .\src\codes\result1581927472205.py
      6       0.0     0.0        0.0         0     .\src\codes\result1581927758285.py
      6       0.0     0.0        0.0         0     .\src\codes\result1581928196507.py
      7       0.0     0.0        0.0         0     .\src\codes\result1581928279717.py
     14       0.0     0.0        0.0         0     .\src\codes\result1581929031894.py
     17       0.0     0.0        0.0         0     .\src\codes\result1581929189473.py
     20       0.0     0.0        0.0         0     .\src\codes\result1581929861062.py
     10       0.0     0.0        0.0         0     .\src\codes\result1581930052622.py
     20       0.0     0.0        0.0         0     .\src\codes\result1581930331034.py
     13       0.0     0.0        0.0         0     .\src\codes\result1581931139318.py
     12       0.0     0.0        0.0         0     .\src\codes\result1581931414683.py
      1       0.0     0.0        0.0         0     .\src\codes\result1581932276184.py
     11       0.0     0.0        0.0         0     .\src\codes\result1581932461931.py
     11       0.0     0.0        0.0         0     .\src\codes\result1581932482348.py
     20       0.0     0.0        0.0         0     .\src\codes\result1581932611681.py
     12       0.0     0.0        0.0         0     .\src\codes\result1581932724983.py
     11       0.0     0.0        0.0         0     .\src\codes\result1581933097772.py
      5       0.0     0.0        0.0         0     .\src\codes\result1581933370957.py
     17      15.0     5.0      101.0         1     .\src\codes\result1581933385291.py
      6       0.0     0.0        0.0         0     .\src\codes\result1581933387720.py
     16       0.0     0.0        0.0         0     .\src\codes\result1581933622328.py
     18       0.0     0.0        0.0         0     .\src\codes\result1581933829714.py
      2       0.0     0.0        0.0         0     .\src\codes\result1581933834073.py
     18       0.0     0.0        0.0         0     .\src\codes\result1581933840604.py
     16       0.0     0.0        0.0         0     .\src\codes\result1581934010104.py
     12       0.0     0.0        0.0         0     .\src\codes\result1581934151264.py
     20       0.0     0.0        0.0         0     .\src\codes\result1581934313047.py
      1       0.0     0.0        0.0         0     .\src\codes\result1581935077905.py
      0       0.0     0.0        0.0         0     .\src\codes\result1581935462837.py
     13       0.0     0.0        0.0         0     .\src\codes\result1581935814841.py
      6       0.0     0.0        0.0         0     .\src\codes\result1581935864699.py
     40       9.5     3.2       80.8         4     .\src\codes\result1581936131464.py
      6       0.0     0.0        0.0         0     .\src\codes\result1581936518582.py
      2       0.0     0.0        0.0         0     .\src\codes\result1581937120908.py
      1       0.0     0.0        0.0         0     .\src\codes\result1581937411366.py
      1       0.0     0.0        0.0         0     .\src\codes\result1581937422387.py
     13       0.0     0.0        0.0         0     .\src\codes\result1581938771731.py
     14       0.0     0.0        0.0         0     .\src\codes\result1581939007859.py
     18       7.0     2.5       55.5         2     .\src\codes\result1581939463356.py
     11       3.5     1.5       28.0         2     .\src\codes\result1581940426932.py
     15       0.0     0.0        0.0         0     .\src\codes\result1581942348204.py
     16       0.0     0.0        0.0         0     .\src\codes\result1581942555488.py
     15       0.0     0.0        0.0         0     .\src\codes\result1581943615181.py
      9       0.0     0.0        0.0         0     .\src\codes\result1581943732811.py
     20       0.0     0.0        0.0         0     .\src\codes\result1581944384937.py
     17       7.5     2.5       53.5         2     .\src\codes\result1581945126601.py
     14       0.0     0.0        0.0         0     .\src\codes\result1581947194854.py
     16       0.0     0.0        0.0         0     .\src\codes\result1581948327047.py
     28      12.0     4.5       82.0         2     .\src\codes\result1581949254039.py
     23      21.0     6.0      126.0         1     .\src\codes\result1581950373805.py
     31      29.0     8.0      176.0         1     .\src\codes\result1581950861412.py
     18       7.0     3.0       49.5         2     .\src\codes\result1581951440263.py
      6       0.0     0.0        0.0         0     .\src\codes\result1581951511308.py
      3       0.0     0.0        0.0         0     .\src\codes\result1581951514521.py
      6       0.0     0.0        0.0         0     .\src\codes\result1581951537688.py
     13       0.0     0.0        0.0         0     .\src\codes\result1581954000300.py
     18      15.0     4.0      101.0         1     .\src\codes\result1581955754974.py
     22      15.0     4.0      101.0         1     .\src\codes\result1581956685739.py
      5       0.0     0.0        0.0         0     .\src\codes\result1581958212295.py
     11       0.0     0.0        0.0         0     .\src\codes\result1581958421181.py
      3       0.0     0.0        0.0         0     .\src\codes\result1581958527905.py
     19       0.0     0.0        0.0         0     .\src\codes\result1581960872566.py
      2       0.0     0.0        0.0         0     .\src\codes\result1581961033851.py
      9       0.0     0.0        0.0         0     .\src\codes\result1581965583954.py
      8       0.0     0.0        0.0         0     .\src\codes\result1581965592591.py
     14       0.0     0.0        0.0         0     .\src\codes\result1581967041069.py
     14       0.0     0.0        0.0         0     .\src\codes\result1581967299052.py
      8       0.0     0.0        0.0         0     .\src\codes\result1581968403652.py
     10       0.0     0.0        0.0         0     .\src\codes\result1581968567514.py
     23       8.0     3.0       53.0         2     .\src\codes\result1581988916803.py
     19       0.0     0.0        0.0         0     .\src\codes\result1581990688283.py
      8       0.0     0.0        0.0         0     .\src\codes\result1581991377908.py
     11       0.0     0.0        0.0         0     .\src\codes\result1581991780864.py
     15       0.0     0.0        0.0         0     .\src\codes\result1581991961960.py
     17       0.0     0.0        0.0         0     .\src\codes\result1581992446221.py
     22       9.0     3.5       70.0         2     .\src\codes\result1581992555301.py
     13       9.0     3.0       43.0         1     .\src\codes\result1581994484880.py
     12       6.0     2.0       30.0         1     .\src\codes\result1581995026998.py
     19       0.0     0.0        0.0         0     .\src\codes\result1581995044113.py
     40       0.0     0.0        0.0         0     .\src\codes\result1581995567165.py
     11       0.0     0.0        0.0         0     .\src\codes\result1581995610897.py
      3       0.0     0.0        0.0         0     .\src\codes\result1581995688660.py
     14       0.0     0.0        0.0         0     .\src\codes\result1581995863414.py
     12       7.0     3.0       46.0         1     .\src\codes\result1581997177725.py
      9       0.0     0.0        0.0         0     .\src\codes\result1581997420082.py
     10       0.0     0.0        0.0         0     .\src\codes\result1581997896666.py
      5       0.0     0.0        0.0         0     .\src\codes\result1581998135192.py
      3       0.0     0.0        0.0         0     .\src\codes\result1581998159599.py
      3       0.0     0.0        0.0         0     .\src\codes\result1581998170930.py
      4       0.0     0.0        0.0         0     .\src\codes\result1581998187636.py
     35       0.0     0.0        0.0         0     .\src\codes\result1581998275738.py
     11       0.0     0.0        0.0         0     .\src\codes\result1581998658108.py
      9       0.0     0.0        0.0         0     .\src\codes\result1581998815967.py
     12       0.0     0.0        0.0         0     .\src\codes\result1581998902284.py
     19       8.5     2.5       93.0         2     .\src\codes\result1581998933056.py
      9       0.0     0.0        0.0         0     .\src\codes\result1581999076563.py
     13      11.0     4.0       67.0         1     .\src\codes\result1581999307068.py
      9       0.0     0.0        0.0         0     .\src\codes\result1581999314442.py
      5       0.0     0.0        0.0         0     .\src\codes\result1581999356970.py
     15       0.0     0.0        0.0         0     .\src\codes\result1581999729161.py
     14      12.0     5.0      108.0         1     .\src\codes\result1582000162784.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582000405307.py
